name,address,phone,rating,review_count,timing,url,images,source_category
Gym Wadad,"Wadad Gunda, Hingoli",,4.3,3,,https://www.justdial.com/Hingoli/Gym-Wadad-Gunda/9999P2456-2456-230831212752-W5N7_BZDET?trkid=&term=&ncatid=11575244&area=&search=Popular%20Gyms%20in%20Hingoli&mncatname=Gyms&ftterm=&abd_btn=Send%20Enquiry&abd_heading=Gyms&isOpenAbd=1&bd=1&cat_b2b_flag=0&searchfrom=lst&thumbnail=,https://images.jdmagicbox.com/comp/def_content/gyms/shutterstock-185101301-gyms-5-ox3t0-250.jpg?w=640&q=75,Gyms
The Sweat Zone Fitness,"Parbhani - Hingoli Road, Hingoli",Show Number,4.3,3,,https://www.justdial.com/Hingoli/The-Sweat-Zone-Fitness/9999P2456-2456-251025055600-P5B8_BZDET?trkid=&term=&ncatid=11575244&area=&search=Popular%20Gyms%20in%20Hingoli&mncatname=Gyms&ftterm=&abd_btn=Send%20Enquiry&abd_heading=Gyms&isOpenAbd=1&bd=1&cat_b2b_flag=0&searchfrom=lst&thumbnail=,https://images.jdmagicbox.com/v2/comp/hingoli/b8/9999p2456.2456.251025055600.p5b8/catalogue/the-sweat-zone-fitness-hingoli-gyms-36vv9d8ulx-250.jpg?w=640&q=75,Gyms
Icon Fitness Gym,"Kothlaj Road Azam Colony, Hingoli",Show Number,5.0,2,,https://www.justdial.com/Hingoli/Icon-Fitness-Gym-Azam-Colony/9999P2456-2456-240813105101-S5H7_BZDET?trkid=&term=&ncatid=11575244&area=&search=Popular%20Gyms%20in%20Hingoli&mncatname=Gyms&ftterm=&abd_btn=Send%20Enquiry&abd_heading=Gyms&isOpenAbd=1&bd=1&cat_b2b_flag=0&searchfrom=lst&thumbnail=,https://images.jdmagicbox.com/comp/hingoli/h7/9999p2456.2456.240813105101.s5h7/catalogue/icon-fitness-gym-azam-colony-hingoli-gyms-6b47ugei9g-250.jpg?w=640&q=75,Gyms
DNS FITNESS CLUB,"Nanded Road Vishnu Nagar, Basmath",Show Number,5.0,2,,,https://content.jdmagicbox.com/comp/hingoli/h3/9999p2456.2456.230719173647.j3h3/catalogue/c4t5kt3n6u86lo3-tcqrfyya46-250.jpg?w=640&q=75 | https://content.jdmagicbox.com/comp/hingoli/h3/9999p2456.2456.230719173647.j3h3/catalogue/whjkfo6f7etlxbu-78lxaclj2l-250.jpg?w=640&q=75,Gyms
Midbrain Activation Acedamy,"Akola Road Tirupati Nagar, Hingoli",Show Number,4.5,2,,https://www.justdial.com/Hingoli/Midbrain-Activation-Acedamy-Tirupati-Nagar/9999P2456-2456-180901100938-E2Y3_BZDET?trkid=&term=&ncatid=11575244&area=&search=Popular%20Gyms%20in%20Hingoli&mncatname=Gyms&ftterm=&abd_btn=Send%20Enquiry&abd_heading=Gyms&isOpenAbd=1&bd=1&cat_b2b_flag=0&searchfrom=lst&thumbnail=,https://images.jdmagicbox.com/comp/hingoli/y3/9999p2456.2456.180901100938.e2y3/catalogue/midbrain-activation-acedamy-tirupati-nagar-hingoli-gyms-7rkh5eq299-250.jpg?w=640&q=75,Gyms
Muscle Factory Gym,"Railway Station Road Bhatt Colony, Hingoli",,4.0,2,,https://www.justdial.com/Hingoli/Muscle-Factory-Gym-Bhatt-Colony/9999P2456-2456-231228021920-Y2N2_BZDET?trkid=&term=&ncatid=11575244&area=&search=Popular%20Gyms%20in%20Hingoli&mncatname=Gyms&ftterm=&abd_btn=Send%20Enquiry&abd_heading=Gyms&isOpenAbd=1&bd=1&cat_b2b_flag=0&searchfrom=lst&thumbnail=,https://images.jdmagicbox.com/comp/def_content/gymnasiums/default-gymnasiums-21-250.jpg?w=640&q=75,Gyms
Hanuman Vyayam Shaka,"Shop No 01 Sahyog Nagar Kalamnuri Noori Mohalla, Hingoli",Show Number,4.0,2,,https://www.justdial.com/Hingoli/Hanuman-Vyayam-Shaka-Noori-Mohalla/9999P2456-2456-240118195156-N2I2_BZDET?trkid=&term=&ncatid=11575244&area=&search=Popular%20Gyms%20in%20Hingoli&mncatname=Gyms&ftterm=&abd_btn=Send%20Enquiry&abd_heading=Gyms&isOpenAbd=1&bd=1&cat_b2b_flag=0&searchfrom=lst&thumbnail=,https://images.jdmagicbox.com/comp/def_content/gyms/shutterstock-363373628-gyms-9-lkx2m-250.jpg?w=640&q=75,Gyms
Kudale's Fitness Club,"Doctor Lane Kurunda, Basmath",Show Number,4.0,2,,,https://images.jdmagicbox.com/comp/def_content/gyms/shutterstock-122803048-gyms-2-zuy27-250.jpg?w=640&q=75,Gyms
Ramesh Dukare Home,"Yedsi, Hingoli",Show Number,4.0,2,,https://www.justdial.com/Hingoli/Ramesh-Dukare-Home-Yedsi/9999P2456-2456-240912030032-I7P1_BZDET?trkid=&term=&ncatid=11575244&area=&search=Popular%20Gyms%20in%20Hingoli&mncatname=Gyms&ftterm=&abd_btn=Send%20Enquiry&abd_heading=Gyms&isOpenAbd=1&bd=1&cat_b2b_flag=0&searchfrom=lst&thumbnail=,https://images.jdmagicbox.com/comp/def_content/gymnasiums/default-gymnasiums-15-250.jpg?w=640&q=75,Gyms
Laksh Fitness Club.,"Asegaon Road Vishnu Nagar, Basmath",Show Number,4.0,2,,,https://content.jdmagicbox.com/comp/hingoli/n1/9999p2456.2456.230317200912.z4n1/catalogue/laksh-fitness-club-basmathnagar-basmath-gyms-agf9bfdbg0-250.jpg?w=640&q=75 | https://content.jdmagicbox.com/comp/hingoli/n1/9999p2456.2456.230317200912.z4n1/catalogue/8t7zo4miqyylsjg-ze0nmi09l9-250.jpg?w=640&q=75,Gyms
Shalimar Gyms,"Shop N.1 Naikwadi Mohalla Kalamnuri Noori Mohalla, Hingoli",Show Number,3.0,2,,https://www.justdial.com/Hingoli/Shalimar-Gyms-Noori-Mohalla/9999P2456-2456-230920195310-J2G7_BZDET?trkid=&term=&ncatid=11575244&area=&search=Popular%20Gyms%20in%20Hingoli&mncatname=Gyms&ftterm=&abd_btn=Send%20Enquiry&abd_heading=Gyms&isOpenAbd=1&bd=1&cat_b2b_flag=0&searchfrom=lst&thumbnail=,https://images.jdmagicbox.com/comp/def_content/gymnasiums/default-gymnasiums-2-250.jpg?w=640&q=75,Gyms
Icon Gym And Suppliments,"Tapdiya Nagar, Hingoli",,3.0,2,,https://www.justdial.com/Hingoli/Icon-Gym-And-Suppliments-Tapdiya-Nagar/9999P2456-2456-240906233213-Z6G4_BZDET?trkid=&term=&ncatid=11575244&area=&search=Popular%20Gyms%20in%20Hingoli&mncatname=Gyms&ftterm=&abd_btn=Send%20Enquiry&abd_heading=Gyms&isOpenAbd=1&bd=1&cat_b2b_flag=0&searchfrom=lst&thumbnail=,https://images.jdmagicbox.com/comp/def_content/gymnasiums/default-gymnasiums-5-250.jpg?w=640&q=75,Gyms
Sogaji Patil Health Club,"Gondankheda Hatala, Hingoli",Show Number,3.0,2,,https://www.justdial.com/Hingoli/Sogaji-Patil-Health-Club-Hatala/9999P2456-2456-161118004338-M7U8_BZDET?trkid=&term=&ncatid=11575244&area=&search=Popular%20Gyms%20in%20Hingoli&mncatname=Gyms&ftterm=&abd_btn=Send%20Enquiry&abd_heading=Gyms&isOpenAbd=1&bd=1&cat_b2b_flag=0&searchfrom=lst&thumbnail=,https://images.jdmagicbox.com/comp/def_content/gyms/shutterstock-185101301-gyms-5-ox3t0-250.jpg?w=640&q=75,Gyms
Vishal Sarje,"Borisawant, Hingoli",Show Number,3.0,2,,https://www.justdial.com/Hingoli/Vishal-Sarje-Borisawant/9999P2456-2456-191231213353-P6J6_BZDET?trkid=&term=&ncatid=11575244&area=&search=Popular%20Gyms%20in%20Hingoli&mncatname=Gyms&ftterm=&abd_btn=Send%20Enquiry&abd_heading=Gyms&isOpenAbd=1&bd=1&cat_b2b_flag=0&searchfrom=lst&thumbnail=,https://images.jdmagicbox.com/comp/def_content/gymnasiums/default-gymnasiums-6-250.jpg?w=640&q=75,Gyms
Personal Trainer Gym Trainer,"Nanded Road Basmath Ardhapur Road, Basmath",Show Number,3.5,1,,,https://images.jdmagicbox.com/comp/def_content/gymnasiums/default-gymnasiums-21-250.jpg?w=640&q=75,Gyms
Gajanan Dukare Ntr,"Pimpaldari Tarf Nandapur Nandapur, Hingoli",Show Number,3.5,1,,https://www.justdial.com/Hingoli/Gajanan-Dukare-Ntr-Nandapur/9999P2456-2456-190820101533-J6M3_BZDET?trkid=&term=&ncatid=11575244&area=&search=Popular%20Gyms%20in%20Hingoli&mncatname=Gyms&ftterm=&abd_btn=Send%20Enquiry&abd_heading=Gyms&isOpenAbd=1&bd=1&cat_b2b_flag=0&searchfrom=lst&thumbnail=,https://images.jdmagicbox.com/comp/def_content/gymnasiums/default-gymnasiums-11-250.jpg?w=640&q=75,Gyms
Pravin v,"Ganeshnagar Itoli, Parbhani",,4.0,2,,,https://images.jdmagicbox.com/comp/def_content/gyms/shutterstock-122803048-gyms-2-zuy27-250.jpg?w=640&q=75,Gyms
Evolve Fitness,"Ansing, Washim",Show Number,4.0,2,,,https://content.jdmagicbox.com/v2/comp/washim/b6/9999p7252.7252.250906004204.x6b6/catalogue/evolve-fitness-ansing-washim-gyms-31m1nay96l-250.jpg?w=640&q=75 | https://content.jdmagicbox.com/v2/comp/washim/b6/9999p7252.7252.250906004204.x6b6/catalogue/evolve-fitness-ansing-washim-gyms-72yrf41iuc-250.jpg?w=640&q=75,Gyms
Lovers Point,"Dhansing Nagar Sandawa, Yavatmal",Show Number,3.8,7,,,https://images.jdmagicbox.com/comp/def_content/gymnasiums/default-gymnasiums-14-250.jpg?w=640&q=75,Gyms
Jay Bajarang Gym,"Shop No 4 Sambhaji Nagar Ansing, Washim",Show Number,4.0,2,,,https://images.jdmagicbox.com/comp/def_content/gymnasiums/default-gymnasiums-8-250.jpg?w=640&q=75,Gyms
The Muscle Planet,"Road Pusad Naka, Washim",Show Number,5.0,25,,,https://content.jdmagicbox.com/comp/washim/p5/9999p7252.7252.190801083806.m5p5/catalogue/the-muscle-planet-pusad-naka-washim-gyms-wxizcev7bk-250.jpg?w=640&q=75 | https://content.jdmagicbox.com/v2/comp/washim/p5/9999p7252.7252.190801083806.m5p5/catalogue/the-muscle-planet-pusad-naka-washim-gyms-htwsnnxr6i-250.jpg?w=640&q=75,Gyms
Mirza fitness club,"Near Kidwai Medical Pusad Town, Yavatmal",Show Number,3.0,1,,,https://content.jdmagicbox.com/v2/comp/yavatmal/l3/9999p7232.7232.250711191104.l2l3/catalogue/mirza-fitness-club-pusad-town-yavatmal-gyms-zf3tsphqkf-250.jpg?w=640&q=75 | https://content.jdmagicbox.com/v2/comp/yavatmal/l3/9999p7232.7232.250711191104.l2l3/catalogue/mirza-fitness-club-pusad-town-yavatmal-gyms-zpr0837dxo-250.jpg?w=640&q=75,Gyms
Fusion Fitness,"C Wing Naalsaheb Pura, Washim",Show Number,4.7,7,,,https://content.jdmagicbox.com/comp/washim/k6/9999p7252.7252.210121173955.g7k6/catalogue/-gv8okit0c1-250.jpg?w=640&q=75 | https://content.jdmagicbox.com/comp/washim/k6/9999p7252.7252.210121173955.g7k6/catalogue/-7avdmfbjuc-250.jpg?w=640&q=75,Gyms
JAI Malhar Fitness Center,"Main Road Patni Chowk, Washim",Show Number,3.8,5,,,https://images.jdmagicbox.com/comp/def_content/gyms/shutterstock-185101301-gyms-5-ox3t0-250.jpg?w=640&q=75,Gyms
Suraj Ingle,"Washim Road Patni Chowk, Washim",Show Number,4.5,3,,,https://images.jdmagicbox.com/comp/def_content/gyms/gyms-1-gyms-13-sh331-250.jpg?w=640&q=75,Gyms
Sartan Fitness Club,"Risod Road Lakhala, Washim",09980832098,5.0,16,,,https://content.jdmagicbox.com/v2/comp/washim/i6/9999p7252.7252.240913071032.t1i6/catalogue/spartan-fitness-club-lakhala-washim-gyms-qgmgcqdszf-250.jpg?w=640&q=75 | https://content.jdmagicbox.com/v2/comp/washim/i6/9999p7252.7252.240913071032.t1i6/catalogue/spartan-fitness-club-lakhala-washim-gyms-yoqu1mdqpe-250.jpg?w=640&q=75,Gyms
Futana,"Chuncha, Nanded",,3.8,5,,,https://images.jdmagicbox.com/comp/def_content/gymnasiums/default-gymnasiums-12-250.jpg?w=640&q=75,Gyms
Pendharkar Fitness Jym,"Shivaji Chowk Road Shivaji Chowk, Washim",Show Number,3.8,8,,,https://content.jdmagicbox.com/comp/washim/h3/9999p7252.7252.190813190549.l3h3/catalogue/pendharkar-fitness-jym-washim-e1dn7jhkey-250.jpg?w=640&q=75 | https://content.jdmagicbox.com/comp/washim/h3/9999p7252.7252.190813190549.l3h3/catalogue/pendharkar-fitness-jym-washim-0m4fmyn5og-250.jpg?w=640&q=75,Gyms
Washim City Sports Club,"Sonkhas Road Akola Naka, Washim",,4.3,67,,,https://images.jdmagicbox.com/comp/def_content/gymnasiums/default-gymnasiums-1-250.jpg?w=640&q=75,Gyms
Sapana Ladies Physical Fitness Gym,"Appartment Mantri Park Sindhi Camp, Washim",Show Number,3.3,3,,,https://content.jdmagicbox.com/comp/washim/k3/9999p7252.7252.211130212829.z8k3/catalogue/sapana-ladies-physical-fitness-gym-washim-gyms-0h38rgv2jt-250.jpg?w=640&q=75 | https://content.jdmagicbox.com/v2/comp/washim/k3/9999p7252.7252.211130212829.z8k3/catalogue/sapana-ladies-physical-fitness-gym-washim-gyms-abqmai2xhq-250.jpg?w=640&q=75,Gyms
