name,address,phone,rating,review_count,timing,url,images,source_category
Ashok Bangar Memorial English School Hingoli,"Ashok Bangar Nager Ashok Bangar Nagar, Hingoli",Show Number,4.7,9,,https://www.justdial.com/Hingoli/Ashok-Bangar-Memorial-English-School-Hingoli-Ashok-Bangar-Nagar/9999P2456-2456-180315124613-G6B6_BZDET?trkid=&term=&ncatid=10422444&area=&search=Leading%20Educational%20Institutions%20:%20Top%20Schools%20in%20Hingoli&mncatname=Schools&ftterm=&abd_btn=Send%20Enquiry&abd_heading=Schools&bd=1&cat_b2b_flag=0&searchfrom=lst&thumbnail=,https://content.jdmagicbox.com/comp/hingoli/b6/9999p2456.2456.180315124613.g6b6/catalogue/abm-english-school-hingoli-hingoli-schools-djl0axwtcp-250.jpg?w=640&q=75 | https://content.jdmagicbox.com/v2/comp/hingoli/b6/9999p2456.2456.180315124613.g6b6/catalogue/ashok-bangar-memorial-english-school-hingoli-ashok-bangar-nagar-hingoli-schools-651q50ay0e-250.jpg?w=640&q=75,Schools
Z P School,"Tanda Road Bhosi, Hingoli",,4.3,9,,https://www.justdial.com/Hingoli/Z-P-School-Bhosi/9999P2456-2456-240329174329-P6D8_BZDET?trkid=&term=&ncatid=10422444&area=&search=Leading%20Educational%20Institutions%20:%20Top%20Schools%20in%20Hingoli&mncatname=Schools&ftterm=&abd_btn=Send%20Enquiry&abd_heading=Schools&bd=1&cat_b2b_flag=0&searchfrom=lst&thumbnail=,https://images.jdmagicbox.com/comp/def_content/schools/default-schools-7-250.jpg?w=640&q=75,Schools
Z P Upper Primary School,"Pangri Navalgavhan, Hingoli",Show Number,4.3,9,,https://www.justdial.com/Hingoli/Z-P-Upper-Primary-School-Navalgavhan/9999P2456-2456-180415074917-W5B9_BZDET?trkid=&term=&ncatid=10422444&area=&search=Leading%20Educational%20Institutions%20:%20Top%20Schools%20in%20Hingoli&mncatname=Schools&ftterm=&abd_btn=Send%20Enquiry&abd_heading=Schools&bd=1&cat_b2b_flag=0&searchfrom=lst&thumbnail=,https://images.jdmagicbox.com/comp/def_content/schools/default-schools-9-250.jpg?w=640&q=75,Schools
New High School,"Goregaon, Hingoli",Show Number,3.8,10,,https://www.justdial.com/Hingoli/New-High-School-Goregaon/9999P2456-2456-171230164750-P7L2_BZDET?trkid=&term=&ncatid=10422444&area=&search=Leading%20Educational%20Institutions%20:%20Top%20Schools%20in%20Hingoli&mncatname=Schools&ftterm=&abd_btn=Send%20Enquiry&abd_heading=Schools&bd=1&cat_b2b_flag=0&searchfrom=lst&thumbnail=,https://images.jdmagicbox.com/comp/def_content/primary-schools/shutterstock-253351462-primary-schools-9-xuc7i-250.jpg?w=640&q=75,Schools
Vivek Vardhini High School,"Khajipura Basmat Zenda Chowk Road, Basmath",Show Number,3.8,10,,,https://content.jdmagicbox.com/v2/comp/basmath/k8/9999p2456.2456.180606193745.n4k8/catalogue/vivek-vardhini-high-school-basmathnagar-basmath-schools-thFOqd1Uau-250.jpg?w=640&q=75 | https://content.jdmagicbox.com/v2/comp/basmath/k8/9999p2456.2456.180606193745.n4k8/catalogue/vivek-vardhini-high-school-basmathnagar-basmath-schools-PZ7Ls3tW5y-250.jpg?w=640&q=75,Schools
Little Flower English School,"Jija Mata Nagar Devda Nagar, Hingoli",Show Number,3.2,11,,https://www.justdial.com/Hingoli/Little-Flower-English-School-Devda-Nagar/9999P2456-2456-180124024959-J2U2_BZDET?trkid=&term=&ncatid=10422444&area=&search=Leading%20Educational%20Institutions%20:%20Top%20Schools%20in%20Hingoli&mncatname=Schools&ftterm=&abd_btn=Send%20Enquiry&abd_heading=Schools&bd=1&cat_b2b_flag=0&searchfrom=lst&thumbnail=,https://content.jdmagicbox.com/comp/hingoli/u2/9999p2456.2456.180124024959.j2u2/catalogue/little-flower-english-school-devda-nagar-hingoli-schools-k0hrgsgysr-250.jpg?w=640&q=75 | https://content.jdmagicbox.com/v2/comp/hingoli/u2/9999p2456.2456.180124024959.j2u2/catalogue/little-flower-english-school-devda-nagar-hingoli-schools-kv9d6z9ydy-250.jpg?w=640&q=75,Schools
Bahirji High School Girgaon Smarak,"Mumbai Girgaon, Basmath",Show Number,3.6,9,,,https://images.jdmagicbox.com/comp/def_content/schools/default-schools-0-250.jpg?w=640&q=75,Schools
Manik Samarak Ary Vidyalaya,"Siddharth Nagar, Hingoli",,4.6,7,,https://www.justdial.com/Hingoli/Manik-Samarak-Ary-Vidyalaya-Siddharth-Nagar/9999P2456-2456-140329214315-P4X7_BZDET?trkid=&term=&ncatid=10422444&area=&search=Leading%20Educational%20Institutions%20:%20Top%20Schools%20in%20Hingoli&mncatname=Schools&ftterm=&abd_btn=Send%20Enquiry&abd_heading=Schools&bd=1&cat_b2b_flag=0&searchfrom=lst&thumbnail=,https://images.jdmagicbox.com/comp/def_content/schools/default-schools-5-250.jpg?w=640&q=75,Schools
Maulana Azad Urdu High School & Junior College Hingoli,"Choudhari Nagar, Hingoli",Show Number,4.0,8,,https://www.justdial.com/Hingoli/Maulana-Azad-Urdu-High-School-Junior-College-Hingoli-Near-Shree-Swami-Samarth-Baattereis-Choudhari-Nagar/9999P2456-2456-180414112141-J1D1_BZDET?trkid=&term=&ncatid=10422444&area=&search=Leading%20Educational%20Institutions%20:%20Top%20Schools%20in%20Hingoli&mncatname=Schools&ftterm=&abd_btn=Send%20Enquiry&abd_heading=Schools&bd=1&cat_b2b_flag=0&searchfrom=lst&thumbnail=,https://images.jdmagicbox.com/comp/hingoli/d1/9999p2456.2456.180414112141.j1d1/catalogue/maulana-azad-urdu-high-school-and-junior-college-hingoli-dalkhola-hingoli-colleges-axnty8spmq-250.jpg?w=640&q=75,Schools
Z P High School,"Shirad Shahpur, Hingoli",Show Number,4.4,7,,https://www.justdial.com/Hingoli/Z-P-High-School-Shirad-Shahpur/9999P2456-2456-180628184946-E1I8_BZDET?trkid=&term=&ncatid=10422444&area=&search=Leading%20Educational%20Institutions%20:%20Top%20Schools%20in%20Hingoli&mncatname=Schools&ftterm=&abd_btn=Send%20Enquiry&abd_heading=Schools&bd=1&cat_b2b_flag=0&searchfrom=lst&thumbnail=,https://images.jdmagicbox.com/comp/def_content/schools/default-schools-5-250.jpg?w=640&q=75,Schools
Sarjudevi Bhikulal Bharuka Ary Kanya Vidyalaya,"Siddharth Nagar, Hingoli",,4.3,7,,https://www.justdial.com/Hingoli/Sarjudevi-Bhikulal-Bharuka-Ary-Kanya-Vidyalaya-Siddharth-Nagar/9999P2456-2456-140329214458-G8J3_BZDET?trkid=&term=&ncatid=10422444&area=&search=Leading%20Educational%20Institutions%20:%20Top%20Schools%20in%20Hingoli&mncatname=Schools&ftterm=&abd_btn=Send%20Enquiry&abd_heading=Schools&bd=1&cat_b2b_flag=0&searchfrom=lst&thumbnail=,https://images.jdmagicbox.com/comp/def_content/schools/default-schools-5-250.jpg?w=640&q=75,Schools
Mother Teresa English High School,"Upper Penganga Irrigation Colony Balapur, Hingoli",Show Number,5.0,6,,https://www.justdial.com/Hingoli/Mother-Teresa-English-High-School-Balapur/9999P2456-2456-180301131902-A4T3_BZDET?trkid=&term=&ncatid=10422444&area=&search=Leading%20Educational%20Institutions%20:%20Top%20Schools%20in%20Hingoli&mncatname=Schools&ftterm=&abd_btn=Send%20Enquiry&abd_heading=Schools&bd=1&cat_b2b_flag=0&searchfrom=lst&thumbnail=,https://content.jdmagicbox.com/comp/hingoli/t3/9999p2456.2456.180301131902.a4t3/catalogue/mother-teresa-english-high-school-hingoli-schools-y6sxlxfmsv-250.jpg?w=640&q=75 | https://content.jdmagicbox.com/comp/def_content/primary-schools/shutterstock-68859253-primary-schools-4-yhwoa-250.jpg?w=640&q=75,Schools
Post Basic Ashram School Rameshwar Tanda,"Hingoli Dist Rameshwar Tanda, Hingoli",Show Number,3.6,8,,https://www.justdial.com/Hingoli/Post-Basic-Ashram-School-Rameshwar-Tanda-Rameshwar-Tanda/9999P2456-2456-161117222336-U2B6_BZDET?trkid=&term=&ncatid=10422444&area=&search=Leading%20Educational%20Institutions%20:%20Top%20Schools%20in%20Hingoli&mncatname=Schools&ftterm=&abd_btn=Send%20Enquiry&abd_heading=Schools&bd=1&cat_b2b_flag=0&searchfrom=lst&thumbnail=,https://content.jdmagicbox.com/comp/hingoli/b6/9999p2456.2456.161117222336.u2b6/catalogue/post-basic-ashram-school-rameshwar-tanda-rameshwar-tanda-hingoli-schools-rqafq3rtxr-250.jpg?w=640&q=75 | https://content.jdmagicbox.com/comp/hingoli/b6/9999p2456.2456.161117222336.u2b6/catalogue/post-basic-ashram-school-rameshwar-tanda-rameshwar-tanda-hingoli-schools-ll7uj3ukh9-250.jpg?w=640&q=75,Schools
Dr. Shankarrao Satav Vidyalaya,"Kalamnuri Hingoli, Hingoli",Show Number,3.6,8,,https://www.justdial.com/Hingoli/Dr-Shankarrao-Satav-Vidyalaya-Kalamnuri-Hingoli/9999P2456-2456-180208102924-A5N2_BZDET?trkid=&term=&ncatid=10422444&area=&search=Leading%20Educational%20Institutions%20:%20Top%20Schools%20in%20Hingoli&mncatname=Schools&ftterm=&abd_btn=Send%20Enquiry&abd_heading=Schools&bd=1&cat_b2b_flag=0&searchfrom=lst&thumbnail=,https://images.jdmagicbox.com/comp/def_content/schools/default-schools-1-250.jpg?w=640&q=75,Schools
Om Kareshwar English School,"Adgaon, Hingoli",Show Number,4.6,6,,https://www.justdial.com/Hingoli/Om-Kareshwar-English-School-Adgaon/9999P2456-2456-180831222825-R5T7_BZDET?trkid=&term=&ncatid=10422444&area=&search=Leading%20Educational%20Institutions%20:%20Top%20Schools%20in%20Hingoli&mncatname=Schools&ftterm=&abd_btn=Send%20Enquiry&abd_heading=Schools&bd=1&cat_b2b_flag=0&searchfrom=lst&thumbnail=,https://images.jdmagicbox.com/comp/def_content/schools/default-schools-6-250.jpg?w=640&q=75,Schools
Era Kids English School,"Kurunda, Basmath",Show Number,4.3,6,,,,Schools
Anusaya Vidyamandir,"Kalamnuri Hingoli, Hingoli",,3.6,7,,https://www.justdial.com/Hingoli/Anusaya-Vidyamandir-Near-Post-Aakhada-Balapur-Kalamnuri-Hingoli/9999P2456-2456-150411103133-I2S1_BZDET?trkid=&term=&ncatid=10422444&area=&search=Leading%20Educational%20Institutions%20:%20Top%20Schools%20in%20Hingoli&mncatname=Schools&ftterm=&abd_btn=Send%20Enquiry&abd_heading=Schools&bd=1&cat_b2b_flag=0&searchfrom=lst&thumbnail=,https://images.jdmagicbox.com/comp/def_content/schools/school-4-schools-11-dijhw-250.jpg?w=640&q=75,Schools
